,cluster,functional,basis,n_dmso,n_water,13c_ch2_avg,13c_ch2_max,13c_ch3_avg,13c_ch3_max,1h_ch2_avg,1h_ch2_max,1h_ch3_avg,1h_ch3_max
69,2,B3LYP,6-31+G*,4,8,68.274,69.654,55.428,56.808,4.393,5.978,4.272,5.857
70,2,B3LYP,6-31+G*,4,10,68.274,69.654,55.428,56.808,4.355,5.895,4.234,5.774
71,2,B3LYP,6-31+G*,4,12,68.274,69.654,55.428,56.808,4.004,5.889,3.883,5.768
72,2,B3LYP,6-31+G*,6,1,68.571,70.285,55.725,57.439,6.923,6.923,6.802,6.802
73,2,B3LYP,6-31+G*,6,2,68.571,70.285,55.725,57.439,6.023,6.485,5.902,6.364
74,2,B3LYP,6-31+G*,6,3,68.571,70.285,55.725,57.439,5.257,5.269,5.136,5.148
75,2,B3LYP,6-31+G*,6,4,68.571,70.285,55.725,57.439,5.164,6.077,5.043,5.956
76,2,B3LYP,6-31+G*,6,6,68.571,70.285,55.725,57.439,4.232,4.903,4.111,4.782
77,2,B3LYP,6-31+G*,6,8,68.571,70.285,55.725,57.439,4.393,5.978,4.272,5.857
78,2,B3LYP,6-31+G*,6,10,68.571,70.285,55.725,57.439,4.355,5.895,4.234,5.774
79,2,B3LYP,6-31+G*,6,12,68.571,70.285,55.725,57.439,4.004,5.889,3.883,5.768
80,3,B3LYP,6-31+G*,1,1,67.309,67.309,54.516,54.516,6.967,6.967,6.796,6.796
81,3,B3LYP,6-31+G*,1,2,67.309,67.309,54.516,54.516,6.067,6.529,5.896,6.358
82,3,B3LYP,6-31+G*,1,3,67.309,67.309,54.516,54.516,5.301,5.313,5.13,5.142
83,3,B3LYP,6-31+G*,1,4,67.309,67.309,54.516,54.516,5.208,6.121,5.037,5.95
84,3,B3LYP,6-31+G*,1,6,67.309,67.309,54.516,54.516,4.276,4.947,4.105,4.776
85,3,B3LYP,6-31+G*,1,8,67.309,67.309,54.516,54.516,4.437,6.022,4.266,5.851
86,3,B3LYP,6-31+G*,1,10,67.309,67.309,54.516,54.516,4.399,5.939,4.228,5.768
87,3,B3LYP,6-31+G*,1,12,67.309,67.309,54.516,54.516,4.048,5.933,3.877,5.762
88,3,B3LYP,6-31+G*,2,1,67.639,67.79,54.846,54.997,6.967,6.967,6.796,6.796
89,3,B3LYP,6-31+G*,2,2,67.639,67.79,54.846,54.997,6.067,6.529,5.896,6.358
90,3,B3LYP,6-31+G*,2,3,67.639,67.79,54.846,54.997,5.301,5.313,5.13,5.142
91,3,B3LYP,6-31+G*,2,4,67.639,67.79,54.846,54.997,5.208,6.121,5.037,5.95
92,3,B3LYP,6-31+G*,2,6,67.639,67.79,54.846,54.997,4.276,4.947,4.105,4.776
93,3,B3LYP,6-31+G*,2,8,67.639,67.79,54.846,54.997,4.437,6.022,4.266,5.851
94,3,B3LYP,6-31+G*,2,10,67.639,67.79,54.846,54.997,4.399,5.939,4.228,5.768
95,3,B3LYP,6-31+G*,2,12,67.639,67.79,54.846,54.997,4.048,5.933,3.877,5.762
96,3,B3LYP,6-31+G*,3,1,67.513,68.282,54.72,55.489,6.967,6.967,6.796,6.796
97,3,B3LYP,6-31+G*,3,2,67.513,68.282,54.72,55.489,6.067,6.529,5.896,6.358
98,3,B3LYP,6-31+G*,3,3,67.513,68.282,54.72,55.489,5.301,5.313,5.13,5.142
99,3,B3LYP,6-31+G*,3,4,67.513,68.282,54.72,55.489,5.208,6.121,5.037,5.95
100,3,B3LYP,6-31+G*,3,6,67.513,68.282,54.72,55.489,4.276,4.947,4.105,4.776
101,3,B3LYP,6-31+G*,3,8,67.513,68.282,54.72,55.489,4.437,6.022,4.266,5.851
102,3,B3LYP,6-31+G*,3,10,67.513,68.282,54.72,55.489,4.399,5.939,4.228,5.768
103,3,B3LYP,6-31+G*,3,12,67.513,68.282,54.72,55.489,4.048,5.933,3.877,5.762
104,3,B3LYP,6-31+G*,4,1,68.126,69.506,55.333,56.713,6.967,6.967,6.796,6.796
105,3,B3LYP,6-31+G*,4,2,68.126,69.506,55.333,56.713,6.067,6.529,5.896,6.358
106,3,B3LYP,6-31+G*,4,3,68.126,69.506,55.333,56.713,5.301,5.313,5.13,5.142
107,3,B3LYP,6-31+G*,4,4,68.126,69.506,55.333,56.713,5.208,6.121,5.037,5.95
108,3,B3LYP,6-31+G*,4,6,68.126,69.506,55.333,56.713,4.276,4.947,4.105,4.776
109,3,B3LYP,6-31+G*,4,8,68.126,69.506,55.333,56.713,4.437,6.022,4.266,5.851
110,3,B3LYP,6-31+G*,4,10,68.126,69.506,55.333,56.713,4.399,5.939,4.228,5.768
111,3,B3LYP,6-31+G*,4,12,68.126,69.506,55.333,56.713,4.048,5.933,3.877,5.762
112,3,B3LYP,6-31+G*,6,1,68.423,70.137,55.63,57.344,6.967,6.967,6.796,6.796
113,3,B3LYP,6-31+G*,6,2,68.423,70.137,55.63,57.344,6.067,6.529,5.896,6.358
114,3,B3LYP,6-31+G*,6,3,68.423,70.137,55.63,57.344,5.301,5.313,5.13,5.142
115,3,B3LYP,6-31+G*,6,4,68.423,70.137,55.63,57.344,5.208,6.121,5.037,5.95
116,3,B3LYP,6-31+G*,6,6,68.423,70.137,55.63,57.344,4.276,4.947,4.105,4.776
117,3,B3LYP,6-31+G*,6,8,68.423,70.137,55.63,57.344,4.437,6.022,4.266,5.851
118,3,B3LYP,6-31+G*,6,10,68.423,70.137,55.63,57.344,4.399,5.939,4.228,5.768
119,3,B3LYP,6-31+G*,6,12,68.423,70.137,55.63,57.344,4.048,5.933,3.877,5.762
120,4,B3LYP,6-31+G*,1,1,67.565,67.565,54.883,54.883,7.015,7.015,6.803,6.803
121,4,B3LYP,6-31+G*,1,2,67.565,67.565,54.883,54.883,6.115,6.577,5.903,6.365
122,4,B3LYP,6-31+G*,1,3,67.565,67.565,54.883,54.883,5.349,5.361,5.137,5.149
123,4,B3LYP,6-31+G*,1,4,67.565,67.565,54.883,54.883,5.256,6.169,5.044,5.957
124,4,B3LYP,6-31+G*,1,6,67.565,67.565,54.883,54.883,4.324,4.995,4.112,4.783
125,4,B3LYP,6-31+G*,1,8,67.565,67.565,54.883,54.883,4.485,6.07,4.273,5.858
