ppm	intensity
118.1434	75.8324
118.1276	-30.5567
118.1119	7.6428
118.0962	115.8613
118.0805	74.3805
118.0648	149.7357
118.0491	240.179
118.0334	115.1863
118.0177	-103.2433
118.002	31.4027
117.9863	-4.6906
117.9706	10.5334
117.9549	322.9835
117.9392	5.328
117.9235	96.5402
117.9078	158.5559
117.8921	188.1727
117.8763	50.2014
117.8606	213.7228
117.8449	161.1761
117.8292	74.1795
117.8135	-31.3277
117.7978	94.7901
117.7821	161.3799
117.7664	135.8987
117.7507	154.2734
117.735	119.9532
117.7193	74.876
117.7036	-18.0702
117.6879	25.357
117.6722	-16.7953
117.6565	-28.0849
117.6408	61.4106
117.6251	45.3074
117.6093	109.9442
117.5936	-112.8938
117.5779	172.342
117.5622	85.473
117.5465	56.2626
117.5308	-82.3517
117.5151	-42.3219
117.4994	-63.2792
117.4837	47.5982
117.468	79.1614
117.4523	70.862
117.4366	-0.7122
117.4209	32.4473
117.4052	101.4484
117.3895	147.9577
117.3737	40.1503
117.358	297.4845
117.3423	125.5714
117.3266	183.3365
117.3109	-27.181
117.2952	-158.4135
117.2795	66.0724
117.2638	58.0835
117.2481	91.6245
117.2324	91.1064
117.2167	-10.3855
117.201	-17.0319
117.1853	27.9813
117.1696	45.5457
117.1539	-86.4127
117.1382	-260.4035
117.1225	-71.61
117.1067	39.6243
117.091	-118.8963
117.0753	-81.2105
117.0596	-63.8602
117.0439	53.0632
117.0282	22.5999
117.0125	94.3248
116.9968	52.1868
116.9811	142.1942
116.9654	113.59
116.9497	78.7821
116.934	128.2891
116.9183	61.7591
116.9026	52.6031
116.8869	-16.8702
116.8711	56.4522
116.8554	34.5464
116.8397	145.2065
116.824	86.8529
116.8083	30.6709
116.7926	-129.9144
116.7769	70.5737
116.7612	30.9598
116.7455	45.1801
116.7298	-42.9972
116.7141	166.2491
116.6984	-60.0378
116.6827	-129.5507
116.667	95.8559
116.6513	32.8333
116.6356	-12.939
116.6199	-9.4426
116.6041	152.9731
116.5884	183.3714
116.5727	-24.6054
116.557	338.1907
116.5413	104.2007
116.5256	75.6024
116.5099	161.0938
116.4942	215.0008
116.4785	329.0846
116.4628	62.5184
116.4471	111.4758
116.4314	-65.8496
116.4157	56.1187
116.4	5.4139
116.3843	37.658
116.3685	-72.3762
116.3528	46.7525
116.3371	-232.9654
116.3214	154.2767
116.3057	207.5757
116.29	-55.4737
116.2743	13.8342
116.2586	83.8462
116.2429	-23.8347
116.2272	75.1463
116.2115	133.5644
116.1958	31.2049
116.1801	-40.5999
116.1644	-50.0349
116.1487	102.8345
116.1329	117.9474
116.1172	46.4469
116.1015	40.5153
116.0858	-82.4428
116.0701	258.8608
116.0544	3.6435
116.0387	-30.9325
116.023	34.7239
116.0073	-9.5991
115.9916	-101.052
115.9759	136.1704
115.9602	122.3104
115.9445	59.9607
115.9288	-15.7196
115.9131	88.0266
115.8974	-98.4036
115.8817	150.1091
115.8659	146.2982
115.8502	46.3314
115.8345	144.1745
115.8188	-29.1006
115.8031	16.7629
115.7874	128.0611
115.7717	63.0572
115.756	199.246
115.7403	85.4933
115.7246	-83.7174
115.7089	63.6263
115.6932	-16.2769
115.6775	133.5981
115.6618	155.8631
115.6461	-80.7335
115.6303	206.6458
115.6146	131.1845
115.5989	197.6964
115.5832	8.7842
115.5675	-69.715
115.5518	126.1381
115.5361	132.6686
115.5204	166.8118
115.5047	-14.3655
115.489	111.2955
115.4733	278.7768
115.4576	-42.0307
115.4419	186.1113
115.4262	43.8129
115.4105	-10.0844
115.3948	-82.5788
115.3791	-34.4785
115.3633	-140.7047
115.3476	127.684
115.3319	-106.7565
115.3162	-55.8146
115.3005	26.7628
115.2848	117.7907
115.2691	286.2212
115.2534	119.2911
115.2377	228.5241
115.222	92.4346
115.2063	90.0112
115.1906	-32.3885
115.1749	-52.1296
115.1592	66.2093
115.1435	19.3973
115.1277	129.4494
115.1121	120.9709
115.0963	190.2264
115.0806	154.0941
115.0649	164.4797
115.0492	275.7049
115.0335	142.1077
115.0178	160.142
115.0021	275.1326
114.9864	41.9719
114.9707	35.2946
114.955	136.6097
114.9393	67.0319
114.9236	-56.6988
114.9079	260.637
114.8922	24.0466
114.8765	-101.3668
114.8607	92.1792
114.845	139.6357
114.8293	-0.8284
114.8136	245.5209
114.7979	4.7119
114.7822	39.2274
114.7665	-139.1616
114.7508	61.7448
114.7351	-61.6861
114.7194	22.4878
114.7037	54.1886
114.688	80.5799
114.6723	94.0905
114.6566	143.8771
114.6409	56.8013
114.6252	22.4037
114.6095	49.1503
114.5937	-46.0542
114.578	189.5272
114.5623	88.1129
114.5466	49.8149
114.5309	66.3001
114.5152	106.8678
114.4995	49.94
114.4838	13.1806
114.4681	3.5016
114.4524	79.6665
114.4367	-8.0655
114.421	12.2245
114.4053	139.6099
114.3896	59.1699
114.3739	-69.0111
114.3581	-114.1237
114.3424	121.8634
114.3267	70.3162
114.311	-19.0996
114.2953	10.0239
114.2796	62.0257
114.2639	93.2693
114.2482	56.1963
114.2325	122.7766
114.2168	110.4872
114.2011	-116.069
114.1854	154.7388
114.1697	59.9193
114.154	-68.7462
114.1383	-85.3456
114.1226	-78.3743
114.1068	93.7742
114.0911	126.0024
114.0754	84.665
114.0597	-70.6771
114.044	10.931
114.0283	20.7546
114.0126	97.1569
113.9969	92.9914
113.9812	206.0806
113.9655	134.9428
113.9498	50.703
113.9341	5.9911
113.9184	-5.1165
113.9027	51.8918
113.887	-28.2847
113.8713	6.4083
113.8555	44.8968
113.8398	131.8162
113.8241	95.9536
113.8084	-12.9879
113.7927	75.3425
113.777	49.6787
113.7613	60.7346
113.7456	43.5354
