,configuration,functional,basis,n_dmso,n_water,13c_ch2_avg,13c_ch2_max,13c_ch3_avg,13c_ch3_max,1h_ch2_avg,1h_ch2_max,1h_ch3_avg,1h_ch3_max
68,2,B3LYP,6-31+G*,4,6,67.555,68.935,57.782,59.162,4.595,5.266,4.499,5.17
69,2,B3LYP,6-31+G*,4,8,67.555,68.935,57.782,59.162,4.756,6.341,4.66,6.245
70,2,B3LYP,6-31+G*,4,10,67.555,68.935,57.782,59.162,4.718,6.258,4.622,6.162
71,2,B3LYP,6-31+G*,4,12,67.555,68.935,57.782,59.162,4.367,6.252,4.271,6.156
72,2,B3LYP,6-31+G*,6,1,67.852,69.566,58.079,59.793,7.286,7.286,7.19,7.19
73,2,B3LYP,6-31+G*,6,2,67.852,69.566,58.079,59.793,6.386,6.848,6.29,6.752
74,2,B3LYP,6-31+G*,6,3,67.852,69.566,58.079,59.793,5.62,5.632,5.524,5.536
75,2,B3LYP,6-31+G*,6,4,67.852,69.566,58.079,59.793,5.527,6.44,5.431,6.344
76,2,B3LYP,6-31+G*,6,6,67.852,69.566,58.079,59.793,4.595,5.266,4.499,5.17
77,2,B3LYP,6-31+G*,6,8,67.852,69.566,58.079,59.793,4.756,6.341,4.66,6.245
78,2,B3LYP,6-31+G*,6,10,67.852,69.566,58.079,59.793,4.718,6.258,4.622,6.162
79,2,B3LYP,6-31+G*,6,12,67.852,69.566,58.079,59.793,4.367,6.252,4.271,6.156
80,3,B3LYP,6-31+G*,1,1,66.334,66.334,55.988,55.988,7.413,7.413,7.234,7.234
81,3,B3LYP,6-31+G*,1,2,66.334,66.334,55.988,55.988,6.513,6.975,6.334,6.796
82,3,B3LYP,6-31+G*,1,3,66.334,66.334,55.988,55.988,5.747,5.759,5.568,5.58
83,3,B3LYP,6-31+G*,1,4,66.334,66.334,55.988,55.988,5.654,6.567,5.475,6.388
84,3,B3LYP,6-31+G*,1,6,66.334,66.334,55.988,55.988,4.722,5.393,4.543,5.214
85,3,B3LYP,6-31+G*,1,8,66.334,66.334,55.988,55.988,4.883,6.468,4.704,6.289
86,3,B3LYP,6-31+G*,1,10,66.334,66.334,55.988,55.988,4.845,6.385,4.666,6.206
87,3,B3LYP,6-31+G*,1,12,66.334,66.334,55.988,55.988,4.494,6.379,4.315,6.2
88,3,B3LYP,6-31+G*,2,1,66.664,66.815,56.318,56.469,7.413,7.413,7.234,7.234
89,3,B3LYP,6-31+G*,2,2,66.664,66.815,56.318,56.469,6.513,6.975,6.334,6.796
90,3,B3LYP,6-31+G*,2,3,66.664,66.815,56.318,56.469,5.747,5.759,5.568,5.58
91,3,B3LYP,6-31+G*,2,4,66.664,66.815,56.318,56.469,5.654,6.567,5.475,6.388
92,3,B3LYP,6-31+G*,2,6,66.664,66.815,56.318,56.469,4.722,5.393,4.543,5.214
93,3,B3LYP,6-31+G*,2,8,66.664,66.815,56.318,56.469,4.883,6.468,4.704,6.289
94,3,B3LYP,6-31+G*,2,10,66.664,66.815,56.318,56.469,4.845,6.385,4.666,6.206
95,3,B3LYP,6-31+G*,2,12,66.664,66.815,56.318,56.469,4.494,6.379,4.315,6.2
96,3,B3LYP,6-31+G*,3,1,66.538,67.307,56.192,56.961,7.413,7.413,7.234,7.234
97,3,B3LYP,6-31+G*,3,2,66.538,67.307,56.192,56.961,6.513,6.975,6.334,6.796
98,3,B3LYP,6-31+G*,3,3,66.538,67.307,56.192,56.961,5.747,5.759,5.568,5.58
99,3,B3LYP,6-31+G*,3,4,66.538,67.307,56.192,56.961,5.654,6.567,5.475,6.388
100,3,B3LYP,6-31+G*,3,6,66.538,67.307,56.192,56.961,4.722,5.393,4.543,5.214
101,3,B3LYP,6-31+G*,3,8,66.538,67.307,56.192,56.961,4.883,6.468,4.704,6.289
102,3,B3LYP,6-31+G*,3,10,66.538,67.307,56.192,56.961,4.845,6.385,4.666,6.206
103,3,B3LYP,6-31+G*,3,12,66.538,67.307,56.192,56.961,4.494,6.379,4.315,6.2
104,3,B3LYP,6-31+G*,4,1,67.151,68.531,56.805,58.185,7.413,7.413,7.234,7.234
105,3,B3LYP,6-31+G*,4,2,67.151,68.531,56.805,58.185,6.513,6.975,6.334,6.796
106,3,B3LYP,6-31+G*,4,3,67.151,68.531,56.805,58.185,5.747,5.759,5.568,5.58
107,3,B3LYP,6-31+G*,4,4,67.151,68.531,56.805,58.185,5.654,6.567,5.475,6.388
108,3,B3LYP,6-31+G*,4,6,67.151,68.531,56.805,58.185,4.722,5.393,4.543,5.214
109,3,B3LYP,6-31+G*,4,8,67.151,68.531,56.805,58.185,4.883,6.468,4.704,6.289
110,3,B3LYP,6-31+G*,4,10,67.151,68.531,56.805,58.185,4.845,6.385,4.666,6.206
111,3,B3LYP,6-31+G*,4,12,67.151,68.531,56.805,58.185,4.494,6.379,4.315,6.2
112,3,B3LYP,6-31+G*,6,1,67.448,69.162,57.102,58.816,7.413,7.413,7.234,7.234
113,3,B3LYP,6-31+G*,6,2,67.448,69.162,57.102,58.816,6.513,6.975,6.334,6.796
114,3,B3LYP,6-31+G*,6,3,67.448,69.162,57.102,58.816,5.747,5.759,5.568,5.58
115,3,B3LYP,6-31+G*,6,4,67.448,69.162,57.102,58.816,5.654,6.567,5.475,6.388
116,3,B3LYP,6-31+G*,6,6,67.448,69.162,57.102,58.816,4.722,5.393,4.543,5.214
117,3,B3LYP,6-31+G*,6,8,67.448,69.162,57.102,58.816,4.883,6.468,4.704,6.289
118,3,B3LYP,6-31+G*,6,10,67.448,69.162,57.102,58.816,4.845,6.385,4.666,6.206
119,3,B3LYP,6-31+G*,6,12,67.448,69.162,57.102,58.816,4.494,6.379,4.315,6.2
120,4,B3LYP,6-31+G*,1,1,67.96,67.96,57.517,57.517,7.409,7.409,7.252,7.252
121,4,B3LYP,6-31+G*,1,2,67.96,67.96,57.517,57.517,6.509,6.971,6.352,6.814
122,4,B3LYP,6-31+G*,1,3,67.96,67.96,57.517,57.517,5.743,5.755,5.586,5.598
123,4,B3LYP,6-31+G*,1,4,67.96,67.96,57.517,57.517,5.65,6.563,5.493,6.406
124,4,B3LYP,6-31+G*,1,6,67.96,67.96,57.517,57.517,4.718,5.389,4.561,5.232
125,4,B3LYP,6-31+G*,1,8,67.96,67.96,57.517,57.517,4.879,6.464,4.722,6.307
126,4,B3LYP,6-31+G*,1,10,67.96,67.96,57.517,57.517,4.841,6.381,4.684,6.224
127,4,B3LYP,6-31+G*,1,12,67.96,67.96,57.517,57.517,4.49,6.375,4.333,6.218
128,4,B3LYP,6-31+G*,2,1,68.29,68.441,57.847,57.998,7.409,7.409,7.252,7.252
129,4,B3LYP,6-31+G*,2,2,68.29,68.441,57.847,57.998,6.509,6.971,6.352,6.814
130,4,B3LYP,6-31+G*,2,3,68.29,68.441,57.847,57.998,5.743,5.755,5.586,5.598
131,4,B3LYP,6-31+G*,2,4,68.29,68.441,57.847,57.998,5.65,6.563,5.493,6.406
132,4,B3LYP,6-31+G*,2,6,68.29,68.441,57.847,57.998,4.718,5.389,4.561,5.232
133,4,B3LYP,6-31+G*,2,8,68.29,68.441,57.847,57.998,4.879,6.464,4.722,6.307
134,4,B3LYP,6-31+G*,2,10,68.29,68.441,57.847,57.998,4.841,6.381,4.684,6.224
135,4,B3LYP,6-31+G*,2,12,68.29,68.441,57.847,57.998,4.49,6.375,4.333,6.218
136,4,B3LYP,6-31+G*,3,1,68.164,68.933,57.721,58.49,7.409,7.409,7.252,7.252
137,4,B3LYP,6-31+G*,3,2,68.164,68.933,57.721,58.49,6.509,6.971,6.352,6.814
138,4,B3LYP,6-31+G*,3,3,68.164,68.933,57.721,58.49,5.743,5.755,5.586,5.598
139,4,B3LYP,6-31+G*,3,4,68.164,68.933,57.721,58.49,5.65,6.563,5.493,6.406
140,4,B3LYP,6-31+G*,3,6,68.164,68.933,57.721,58.49,4.718,5.389,4.561,5.232
141,4,B3LYP,6-31+G*,3,8,68.164,68.933,57.721,58.49,4.879,6.464,4.722,6.307
142,4,B3LYP,6-31+G*,3,10,68.164,68.933,57.721,58.49,4.841,6.381,4.684,6.224
143,4,B3LYP,6-31+G*,3,12,68.164,68.933,57.721,58.49,4.49,6.375,4.333,6.218
144,4,B3LYP,6-31+G*,4,1,68.777,70.157,58.334,59.714,7.409,7.409,7.252,7.252
145,4,B3LYP,6-31+G*,4,2,68.777,70.157,58.334,59.714,6.509,6.971,6.352,6.814
146,4,B3LYP,6-31+G*,4,3,68.777,70.157,58.334,59.714,5.743,5.755,5.586,5.598
147,4,B3LYP,6-31+G*,4,4,68.777,70.157,58.334,59.714,5.65,6.563,5.493,6.406
148,4,B3LYP,6-31+G*,4,6,68.777,70.157,58.334,59.714,4.718,5.389,4.561,5.232
149,4,B3LYP,6-31+G*,4,8,68.777,70.157,58.334,59.714,4.879,6.464,4.722,6.307
150,4,B3LYP,6-31+G*,4,10,68.777,70.157,58.334,59.714,4.841,6.381,4.684,6.224
151,4,B3LYP,6-31+G*,4,12,68.777,70.157,58.334,59.714,4.49,6.375,4.333,6.218
152,4,B3LYP,6-31+G*,6,1,69.074,70.788,58.631,60.345,7.409,7.409,7.252,7.252
153,4,B3LYP,6-31+G*,6,2,69.074,70.788,58.631,60.345,6.509,6.971,6.352,6.814
154,4,B3LYP,6-31+G*,6,3,69.074,70.788,58.631,60.345,5.743,5.755,5.586,5.598
155,4,B3LYP,6-31+G*,6,4,69.074,70.788,58.631,60.345,5.65,6.563,5.493,6.406
156,4,B3LYP,6-31+G*,6,6,69.074,70.788,58.631,60.345,4.718,5.389,4.561,5.232
157,4,B3LYP,6-31+G*,6,8,69.074,70.788,58.631,60.345,4.879,6.464,4.722,6.307
158,4,B3LYP,6-31+G*,6,10,69.074,70.788,58.631,60.345,4.841,6.381,4.684,6.224
159,4,B3LYP,6-31+G*,6,12,69.074,70.788,58.631,60.345,4.49,6.375,4.333,6.218
160,5,B3LYP,6-31+G*,1,1,66.709,66.709,56.579,56.579,7.321,7.321,7.242,7.242
